seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	18081801	18081908	108	*	X009	81569	18081808	18153558	71751	+	0	overlapStart	0	ACTL8
chr1	38020090	38020140	51	*	X014	79753	38000050	38019945	19896	-	144	upstream	144	SNIP1
chr1	40974245	40974255	11	*	X016	64789	40974433	40982214	7782	+	177	upstream	177	EXO5
chr1	40974268	40974284	17	*	X017	64789	40974433	40982214	7782	+	148	upstream	148	EXO5
chr1	236958159	236958169	11	*	X038	4548	236958581	237067281	108701	+	411	upstream	411	MTR
chr2	86667679	86667700	22	*	X048	55818	86668271	86719839	51569	+	570	upstream	570	KDM3A
chr2	114737548	114737635	88	*	X053	100499194	114735246	114737561	2316	-	0	overlapStart	0	LOC100499194
chr2	170440600	170440674	75	*	X060	9360	170440850	170494254	53405	+	175	upstream	175	PPIG
chr3	56717589	56717705	117	*	X071	23272	56654160	56717135	62976	-	453	upstream	453	TASOR
chr3	107810405	107810453	49	*	X072	961	107761941	107809935	47995	-	469	upstream	469	CD47
chr3	107810477	107810790	314	*	X073	961	107761941	107809935	47995	-	541	upstream	541	CD47
chr3	148804715	148804717	3	*	X080	6596	148747904	148804341	56438	-	373	upstream	373	HLTF
chr3	170626612	170626929	318	*	X084	56648	170606204	170626426	20223	-	185	upstream	185	EIF5A2
chr4	26585357	26585418	62	*	X095	55296	26585546	26756918	171373	+	127	upstream	127	TBC1D19
chr5	114880896	114881025	130	*	X113	56929	114856608	114880591	23984	-	304	upstream	304	FEM1C
chr5	114881040	114881061	22	*	X114	56929	114856608	114880591	23984	-	448	upstream	448	FEM1C
chr5	137688070	137688165	96	*	X115	51780	137688285	137772716	84432	+	119	upstream	119	KDM3B
chr5	150284294	150284309	16	*	X116	91975	150273954	150284545	10592	-	0	inside	235	ZNF300
chr5	179499462	179499515	54	*	X119	55819	179382474	179499109	116636	-	352	upstream	352	RNF130
chr6	10411834	10411855	22	*	X120	100130275	10412551	10416402	3852	+	695	upstream	695	TFAP2A-AS1
chr6	26020607	26021138	532	*	X122	8350	26020718	26021186	469	+	0	overlapStart	0	H3C1
